DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2025-09-10 15:12:06.269,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
10963904,0.1919,-0.7999,0.3261,-0.4658,0.4946,-1.7365,0.3487,0
10964071,0.2005,-0.8041,0.3294,-0.4524,0.9489,-1.1714,0.2928,0
10964237,0.2091,-0.8076,0.3317,-0.4406,0.7168,-0.6846,0.4985,0
10964404,0.2183,-0.8105,0.3336,-0.4292,0.0257,-0.8115,0.6798,0
10964571,0.2276,-0.8133,0.3358,-0.4171,0.2280,-1.2985,0.5515,0
10964737,0.2366,-0.8163,0.3389,-0.4035,0.3838,-1.4863,0.5145,0
10964904,0.2459,-0.8195,0.3424,-0.3882,0.5144,-1.2748,1.0687,0
10965071,0.2563,-0.8225,0.3456,-0.3719,0.6289,-1.0048,1.3980,0
10965237,0.2677,-0.8254,0.3477,-0.3551,0.1121,-1.0970,1.0526,0
10965404,0.2784,-0.8285,0.3498,-0.3374,-0.2627,-1.2836,0.7308,0
10965571,0.2874,-0.8317,0.3523,-0.3186,-0.0728,-1.6810,0.6017,0
10965737,0.2951,-0.8352,0.3553,-0.2987,0.2731,-1.6104,0.6509,0
10965904,0.3023,-0.8383,0.3583,-0.2784,0.3543,-1.2280,1.0327,0
10966071,0.3096,-0.8409,0.3615,-0.2576,0.1292,-0.6581,0.9013,0
10966237,0.3168,-0.8431,0.3645,-0.2364,-0.2352,-0.3013,0.9793,0
10966404,0.3238,-0.8449,0.3676,-0.2149,-0.2378,0.0262,0.8491,0
10966571,0.3312,-0.8459,0.3705,-0.1935,-0.1543,0.1797,0.7976,0
10966737,0.3387,-0.8462,0.3734,-0.1722,0.0087,0.0019,0.3820,0
10966904,0.3465,-0.8460,0.3759,-0.1512,0.2371,-0.3647,0.3734,0
10967071,0.3547,-0.8452,0.3780,-0.1299,0.6668,-0.9149,0.4588,0
10967237,0.3634,-0.8438,0.3796,-0.1085,0.8974,-1.4627,0.1644,0
10967404,0.3719,-0.8421,0.3810,-0.0866,0.9075,-1.8779,-0.3233,0
10967571,0.3793,-0.8401,0.3824,-0.0644,0.8862,-2.1427,-0.1042,0
10967737,0.3860,-0.8378,0.3837,-0.0421,1.0539,-1.9132,-0.3245,0
10967904,0.3926,-0.8351,0.3848,-0.0203,1.1155,-1.8930,-0.3788,0
10968071,0.3993,-0.8318,0.3856,0.0009,1.0203,-1.7793,-0.5334,0
10968237,0.4059,-0.8281,0.3861,0.0217,0.9094,-2.0406,-0.6817,0
10968404,0.4120,-0.8241,0.3863,0.0425,1.0649,-1.7763,-0.7328,0
10968571,0.4180,-0.8199,0.3862,0.0629,1.0051,-1.7043,-0.9680,0
10968737,0.4240,-0.8151,0.3860,0.0828,1.0153,-1.6939,-0.6787,0
10968904,0.4303,-0.8097,0.3859,0.1021,1.1317,-1.3494,-0.8218,0
10969071,0.4366,-0.8038,0.3855,0.1207,0.6492,-1.2653,-1.0353,0
10969237,0.4421,-0.7981,0.3850,0.1392,0.5093,-1.0860,-1.3299,0
10969404,0.4468,-0.7923,0.3845,0.1573,0.3884,-0.4308,-1.3423,0
10969571,0.4511,-0.7866,0.3838,0.1746,0.3280,-0.1853,-1.4990,0
10969738,0.4555,-0.7807,0.3832,0.1905,0.4530,-0.2125,-1.1298,0
10969904,0.4600,-0.7746,0.3823,0.2054,0.4346,-0.0960,-1.0685,0
10970071,0.4643,-0.7686,0.3812,0.2200,-0.0225,-0.3530,-0.9067,0
10970238,0.4676,-0.7629,0.3794,0.2352,0.0772,-0.4149,-0.8347,0
10970404,0.4709,-0.7571,0.3773,0.2503,0.5976,-0.5300,-0.3439,0
10970571,0.4757,-0.7503,0.3752,0.2646,0.7479,-0.7626,0.1451,0
10970738,0.4814,-0.7427,0.3731,0.2782,0.1070,-0.4850,-0.4128,0
10970904,0.4875,-0.7347,0.3712,0.2912,-0.2462,-0.6817,-0.4665,0
10971071,0.4931,-0.7267,0.3695,0.3037,-0.4809,-0.5964,-0.8308,0
10971238,0.4980,-0.7194,0.3675,0.3154,-0.2906,-0.2272,-1.0369,0
10971404,0.5025,-0.7126,0.3652,0.3261,0.0594,-0.2338,-1.0357,0
10971571,0.5067,-0.7064,0.3627,0.3357,-0.0316,0.3364,-1.6675,0
10971738,0.5112,-0.7004,0.3606,0.3437,0.3136,0.4254,-2.0509,0
10971904,0.5160,-0.6947,0.3590,0.3495,0.2301,0.4840,-1.8597,0
10972071,0.5198,-0.6903,0.3577,0.3540,-0.3795,0.6974,-1.9753,0
10972238,0.5229,-0.6868,0.3568,0.3572,-0.0178,0.5959,-2.0329,0
10972404,0.5261,-0.6837,0.3566,0.3588,0.2659,0.6884,-1.4539,0
10972571,0.5296,-0.6807,0.3571,0.3588,-0.5418,0.4585,-1.1649,0
10972738,0.5322,-0.6786,0.3570,0.3588,-1.1362,0.4915,-0.8282,0
10972904,0.5338,-0.6774,0.3561,0.3596,-1.1354,0.1314,-0.3466,0
10973071,0.5345,-0.6768,0.3548,0.3611,-0.7346,0.1175,0.2649,0
10973238,0.5350,-0.6762,0.3532,0.3629,-0.6288,0.1511,-0.0982,0
10973404,0.5364,-0.6752,0.3520,0.3640,0.1246,0.1464,-0.1150,0
10973571,0.5377,-0.6743,0.3510,0.3647,-0.3930,0.0780,-0.6271,0
10973738,0.5380,-0.6741,0.3497,0.3659,-0.0969,-0.1791,-0.3318,0
10973904,0.5372,-0.6745,0.3485,0.3673,0.1359,-0.1238,-0.4471,0
10974071,0.5365,-0.6751,0.3473,0.3686,0.5712,0.0353,-0.1921,0
10974238,0.5364,-0.6752,0.3467,0.3690,0.8754,-0.0895,-0.0344,0
10974404,0.5372,-0.6748,0.3466,0.3686,1.0213,-0.0264,0.1290,0
